# t Temp Pres Epot Etot
40.900000 2.005225 2.887516 -1113.539541 -343.533185
40.950000 1.990736 3.284743 -1084.076558 -319.634099
41.000000 2.018207 3.083177 -1095.615533 -320.624077
41.050000 2.012421 2.582412 -1126.011124 -353.241375
41.100000 1.987045 3.221523 -1080.706573 -317.681386
41.150000 1.990327 2.922392 -1106.440937 -342.155503
41.200000 1.994726 3.229893 -1088.406485 -322.431741
41.250000 2.020234 3.148400 -1098.946817 -323.176824
41.300000 1.983796 3.288359 -1080.056955 -318.279251
41.350000 2.016125 2.956767 -1098.817857 -324.626020
41.400000 2.005270 2.712559 -1115.183845 -345.160252
41.450000 1.993272 2.952023 -1108.240101 -342.823840
41.500000 2.001857 3.452533 -1076.245547 -307.532354
41.550000 1.985871 2.996071 -1108.852602 -346.278148
41.600000 2.001169 3.007170 -1112.641942 -344.192989
41.650000 1.994497 3.374354 -1085.904307 -320.017613
41.700000 2.008846 2.579848 -1143.487025 -372.090266
41.750000 2.005578 3.078134 -1099.497724 -329.355730
41.800000 1.991483 2.699020 -1124.063170 -359.333797
41.850000 1.979375 3.214295 -1091.893031 -331.813216
41.900000 2.005498 3.579271 -1064.975603 -294.864425
41.950000 2.009063 2.983148 -1099.123578 -327.643472
42.000000 1.999421 2.800640 -1115.303311 -347.525771
42.050000 2.006649 3.339990 -1081.204429 -310.651126
42.100000 1.999611 3.348669 -1077.659647 -309.808912
42.150000 1.996487 2.795364 -1113.044113 -346.392924
42.200000 1.993307 3.061772 -1091.690884 -326.260986
42.250000 2.002769 2.749368 -1116.783877 -347.720712
42.300000 1.995233 2.797911 -1112.862933 -346.693456
42.350000 2.004919 2.788707 -1112.928391 -343.039399
42.400000 1.998683 3.058717 -1098.284022 -330.789620
42.450000 1.963655 3.718750 -1056.053282 -302.009940
42.500000 2.020515 3.690875 -1061.525986 -285.648321
42.550000 2.006232 3.117939 -1098.386407 -327.993444
42.600000 2.010043 3.250672 -1085.565269 -313.708567
42.650000 1.977937 3.230353 -1090.544920 -331.016933
42.700000 1.985166 3.627801 -1066.466281 -304.162671
42.750000 2.009099 2.990322 -1111.474256 -339.980068
42.800000 1.998423 2.388757 -1145.215022 -377.820553
42.850000 2.000946 2.847648 -1108.422298 -340.059102
42.900000 1.994178 2.988421 -1097.174084 -331.409545
42.950000 2.001078 3.188256 -1085.663778 -317.249896
43.000000 2.002204 2.893442 -1106.133317 -337.287018
43.050000 1.973328 3.149005 -1083.283818 -325.526021
43.100000 2.016367 3.248344 -1082.429724 -308.144777
43.150000 2.001363 3.272844 -1082.370617 -313.847110
43.200000 2.009280 3.199286 -1086.923078 -315.359616
43.250000 2.003928 3.372284 -1079.780560 -310.272364
43.300000 1.993133 2.926768 -1112.308836 -346.945768
43.350000 1.998155 2.784812 -1116.933250 -349.641846
43.400000 2.001022 2.543611 -1128.953335 -360.560782
43.450000 1.984748 3.301175 -1070.844818 -308.701624
43.500000 2.010000 2.625319 -1124.246037 -352.405846
43.550000 2.005036 2.583711 -1129.411677 -359.478022
43.600000 1.977529 2.957724 -1103.829269 -344.458317
43.650000 2.011666 3.552540 -1063.402915 -290.923125
43.700000 2.026382 3.502361 -1074.768937 -296.638385
43.750000 1.995190 3.228782 -1092.986193 -326.833173
43.800000 2.021421 2.931980 -1115.838206 -339.612725
43.850000 1.975636 3.206400 -1099.100736 -340.456607
43.900000 2.026232 3.463809 -1082.198222 -304.125008
43.950000 1.996794 3.020504 -1109.297748 -342.528896
44.000000 1.998784 2.988513 -1115.113269 -347.580366
44.050000 2.000442 3.065193 -1114.181247 -346.011531
44.100000 1.977666 3.447285 -1089.286080 -329.862233
44.150000 2.012300 3.717583 -1066.638257 -293.915160
44.200000 2.027355 2.707277 -1126.584364 -348.080182
44.250000 1.998986 2.359246 -1143.045111 -375.434618
44.300000 2.004872 2.553314 -1130.777535 -360.906669
44.350000 1.980584 3.030344 -1098.613971 -338.069685
44.400000 2.011868 3.059039 -1096.276455 -323.719047
44.450000 1.992906 2.499240 -1136.271005 -370.994965
44.500000 2.014842 3.299582 -1083.684169 -309.984775
44.550000 2.016431 2.926106 -1112.143170 -337.833783
44.600000 1.970994 3.365352 -1079.781005 -322.919426
44.650000 2.034461 2.912012 -1121.002938 -339.770101
44.700000 2.014708 2.859805 -1115.716620 -342.068749
44.750000 1.997049 2.550427 -1129.176716 -362.309945
44.800000 1.998459 2.373716 -1144.410481 -377.002155
44.850000 1.994283 3.349738 -1078.619936 -312.815357
44.900000 1.994114 2.541379 -1136.872308 -371.132564
44.950000 2.001372 2.797721 -1117.206424 -348.679478
